,miRNA,ceRNA,species,database,type
0,AC002366,TRIM26,Homo sapiens,RNAInter,miRNA-mRNA
1,AC004875,RP11-508N22,Homo sapiens,RNAInter,miRNA-lncRNA
2,AC004932,ZNF530,Homo sapiens,RNAInter,miRNA-mRNA
3,AC005048,NCBP3,Homo sapiens,RNAInter,miRNA-mRNA
4,AC005284,CLEC4D,Homo sapiens,RNAInter,miRNA-mRNA
5,AC005513,AF127577,Homo sapiens,RNAInter,miRNA-lncRNA
6,AC005538,HCAR1,Homo sapiens,RNAInter,miRNA-mRNA
7,AC005538,SSR2,Homo sapiens,RNAInter,miRNA-mRNA
8,AC006480,DOCK8,Homo sapiens,RNAInter,miRNA-mRNA
9,AC007486,AGO3,Homo sapiens,RNAInter,miRNA-mRNA
10,AC007567,RP4-647C14,Homo sapiens,RNAInter,miRNA-lncRNA
11,AC008391,TIGD5,Homo sapiens,RNAInter,miRNA-mRNA
12,AC009127,ABCB11,Homo sapiens,RNAInter,miRNA-mRNA
13,AC009336,DBNL,Homo sapiens,RNAInter,miRNA-mRNA
14,AC010235,ZNHIT6,Homo sapiens,RNAInter,miRNA-mRNA
15,AC010319,LINC01527,Homo sapiens,RNAInter,miRNA-lncRNA
16,AC010874,ADORA3,Homo sapiens,RNAInter,miRNA-mRNA
17,AC010884,CEBPG,Homo sapiens,RNAInter,miRNA-mRNA
18,AC011379,ZNF713,Homo sapiens,RNAInter,miRNA-mRNA
19,AC011404,NAT8L,Homo sapiens,RNAInter,miRNA-mRNA
20,AC011404,SELENON,Homo sapiens,RNAInter,miRNA-mRNA
21,AC011404,SH3PXD2B,Homo sapiens,RNAInter,miRNA-mRNA
22,AC011404,SON,Homo sapiens,RNAInter,miRNA-mRNA
23,AC011456,SCUBE2,Homo sapiens,RNAInter,miRNA-mRNA
24,AC011498,FTX,Homo sapiens,RNAInter,miRNA-lncRNA
25,AC011994,CNTNAP3B,Homo sapiens,RNAInter,miRNA-mRNA
26,AC012603,ZNF570,Homo sapiens,RNAInter,miRNA-mRNA
27,AC015971,DOP1B,Homo sapiens,RNAInter,miRNA-mRNA
28,AC018635,RP11-390F4,Homo sapiens,RNAInter,miRNA-lncRNA
29,AC018688,MTMR12,Homo sapiens,RNAInter,miRNA-mRNA
30,AC018737,RP11-3D4,Homo sapiens,RNAInter,miRNA-lncRNA
31,AC019330,IPO11,Homo sapiens,RNAInter,miRNA-mRNA
32,AC021660,TRIM35,Homo sapiens,RNAInter,miRNA-mRNA
33,AC021760,SLMAP,Homo sapiens,RNAInter,miRNA-mRNA
34,AC022819,POFUT2,Homo sapiens,RNAInter,miRNA-mRNA
35,AC022819,SLC35F5,Homo sapiens,RNAInter,miRNA-mRNA
36,AC022909,CTC-490G23,Homo sapiens,RNAInter,miRNA-lncRNA
37,AC026700,NEMP1,Homo sapiens,RNAInter,miRNA-mRNA
38,AC027088,CCDC90B,Homo sapiens,RNAInter,miRNA-mRNA
39,AC027348,CYTB,Homo sapiens,RNAInter,miRNA-mRNA
40,AC064848,FAM83C,Homo sapiens,RNAInter,miRNA-mRNA
41,AC067969,NSUN2,Homo sapiens,RNAInter,miRNA-mRNA
42,AC068014,RNF115,Homo sapiens,RNAInter,miRNA-mRNA
43,AC068062,CD24,Homo sapiens,RNAInter,miRNA-mRNA
44,AC068641,SIPA1L3,Homo sapiens,RNAInter,miRNA-mRNA
45,AC069082,CLDN23,Homo sapiens,RNAInter,miRNA-mRNA
46,AC069181,TRIM63,Homo sapiens,RNAInter,miRNA-mRNA
47,AC078819,SNHG31,Homo sapiens,RNAInter,miRNA-lncRNA
48,AC078993,LMBRD2,Homo sapiens,RNAInter,miRNA-mRNA
49,AC079949,DSG4,Homo sapiens,RNAInter,miRNA-mRNA
50,AC090181,LCNL1,Homo sapiens,RNAInter,miRNA-mRNA
51,AC090311,CTB-176F20,Homo sapiens,RNAInter,miRNA-lncRNA
52,AC091939,LINC00243,Homo sapiens,RNAInter,miRNA-lncRNA
53,AC091939,RCN2,Homo sapiens,RNAInter,miRNA-mRNA
54,AC092905,RP3-467K16,Homo sapiens,RNAInter,miRNA-lncRNA
55,AC096633,TAZ,Homo sapiens,RNAInter,miRNA-mRNA
56,AC097452,RP1-78B3,Homo sapiens,RNAInter,miRNA-lncRNA
57,AC099506,MED29,Homo sapiens,RNAInter,miRNA-mRNA
58,AC099757,COL1A1,Homo sapiens,RNAInter,miRNA-mRNA
59,AC099796,RP11-305E6,Homo sapiens,RNAInter,miRNA-lncRNA
60,AC104162,SUCNR1,Homo sapiens,RNAInter,miRNA-mRNA
61,AC104162,TTN,Homo sapiens,RNAInter,miRNA-mRNA
62,AC104169,CD82,Homo sapiens,RNAInter,miRNA-mRNA
63,AC105399,AMY2B,Homo sapiens,RNAInter,miRNA-mRNA
64,AC108044,AIG1,Homo sapiens,RNAInter,miRNA-mRNA
65,AC108078,C12orf40,Homo sapiens,RNAInter,miRNA-mRNA
66,AC108456,TIGD1,Homo sapiens,RNAInter,miRNA-mRNA
67,AC112693,ASH1L,Homo sapiens,RNAInter,miRNA-mRNA
68,AC113171,MTAP,Homo sapiens,RNAInter,miRNA-mRNA
69,AC117945,C1orf21,Homo sapiens,RNAInter,miRNA-mRNA
70,AC124861,FGF13,Homo sapiens,RNAInter,miRNA-mRNA
71,AC124916,VPS13D,Homo sapiens,RNAInter,miRNA-mRNA
72,AC126755,POLR3F,Homo sapiens,RNAInter,miRNA-mRNA
73,AC127030,CHST5,Homo sapiens,RNAInter,miRNA-mRNA
74,AC128715,CNRIP1,Homo sapiens,RNAInter,miRNA-mRNA
75,AC131160,FSIP2,Homo sapiens,RNAInter,miRNA-mRNA
76,AC133552,ELP5,Homo sapiens,RNAInter,miRNA-mRNA
77,AC144634,RP11-556N4,Homo sapiens,RNAInter,miRNA-lncRNA
78,AC145141,RP5-1057B20,Homo sapiens,RNAInter,miRNA-lncRNA
79,AC234031,RP11-94C24,Homo sapiens,RNAInter,miRNA-lncRNA
80,AL008707,ADAMTS9-AS2,Homo sapiens,RNAInter,miRNA-lncRNA
81,AL021394,RP11-339A11,Homo sapiens,RNAInter,miRNA-lncRNA
82,AL021917,RP11-432J24,Homo sapiens,RNAInter,miRNA-lncRNA
83,AL021917,ZNF12,Homo sapiens,RNAInter,miRNA-mRNA
84,AL021918,ADAR,Homo sapiens,RNAInter,miRNA-mRNA
85,AL021918,JAG1,Homo sapiens,RNAInter,miRNA-mRNA
86,AL021918,PLBD2,Homo sapiens,RNAInter,miRNA-mRNA
87,AL021918,SHISAL1,Homo sapiens,RNAInter,miRNA-mRNA
88,AL021918,ZNF491,Homo sapiens,RNAInter,miRNA-mRNA
89,AL021918,ZNF831,Homo sapiens,RNAInter,miRNA-mRNA
90,AL023876,STX17,Homo sapiens,RNAInter,miRNA-mRNA
